Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,200840180,2576.6776583316937,4198091,53.859378573268344,635150,4265903,54.72937214411054,64843,0.8319028064962009,9764,
United States of America,Americas,35229302,10643.21,649330,196.17,91648,610180,184.34,3044,0.92,495
India,South-East Asia,31856757,2308.45,284413,20.61,44643,426754,30.92,3537,0.26,464
Brazil,Americas,20026533,9421.62,229447,107.94,40716,559607,263.27,6428,3.02,1175
Russian Federation,Europe,6402564,4387.29,160498,109.98,22660,163301,111.9,5530,3.79,792
France,Europe,6093653,9369.18,144200,221.71,26314,111007,170.68,273,0.42,46
The United Kingdom,Europe,5982585,8812.69,181020,266.65,29825,130086,191.62,571,0.84,86
Turkey,Europe,5846784,6932.47,164154,194.64,24297,51875,61.51,691,0.82,108
Argentina,Americas,4975616,11009.03,83806,185.43,13736,106747,236.19,1925,4.26,300
Colombia,Americas,4815063,9463.03,57924,113.84,7084,121695,239.17,1894,3.72,211
Spain,Europe,4566571,9647.83,120065,253.66,10097,81931,173.1,324,0.68,24
Italy,Europe,4377188,7339.17,40282,67.54,7224,128163,214.89,134,0.22,27
Iran (Islamic Republic of),Eastern Mediterranean,4057758,4831.07,231311,275.39,38674,92628,110.28,2554,3.04,434
Germany,Europe,3784433,4550.42,17668,21.24,3448,91754,110.33,117,0.14,24
Indonesia,South-East Asia,3607863,1319.03,235489,86.09,39532,104010,38.03,11699,4.28,1635
Mexico,Americas,2901094,2250.08,110220,85.49,20685,242547,188.12,2931,2.27,611
Poland,Europe,2883796,7597.31,1010,2.66,172,75281,198.33,22,0.06,6
South Africa,Africa,2497655,4211.28,75504,127.31,13646,73873,124.56,2442,4.12,458
Ukraine,Europe,2257478,5161.87,5609,12.83,1081,53065,121.34,135,0.31,16
Peru,Americas,2119068,6426.9,11195,33.95,2416,196673,596.49,535,1.62,75
Netherlands,Europe,1878214,10789.63,19247,110.57,3402,17850,102.54,35,0.2,11
Iraq,Eastern Mediterranean,1684955,4189.09,81168,201.8,11871,19000,47.24,467,1.16,62
Czechia,Europe,1674577,15659.12,1090,10.19,163,30367,283.96,5,0.05,0
Philippines,Western Pacific,1627816,1485.49,55554,50.7,8127,28427,25.94,850,0.78,196
Chile,Americas,1620389,8476.52,7101,37.15,1206,35806,187.31,511,2.67,135
Canada,Americas,1434738,3801.42,6055,16.04,963,26618,70.53,48,0.13,11
Bangladesh,South-East Asia,1335260,810.77,95145,57.77,12606,22150,13.45,1683,1.02,248
Malaysia,Western Pacific,1203706,3719.04,125060,386.39,20596,10019,30.96,1294,4,164
Belgium,Europe,1134907,9849.54,9246,80.24,3,25264,219.26,24,0.21,0
Sweden,Europe,1103693,10686.84,4247,41.12,824,14657,141.92,1,0.01,0
Romania,Europe,1084456,5610.56,1423,7.36,230,34305,177.48,21,0.11,5
Pakistan,Eastern Mediterranean,1053660,477,33336,15.09,5661,23635,10.7,426,0.19,60
Japan,Western Pacific,985691,779.35,82973,65.6,15231,15240,12.05,67,0.05,12
